ticker,company_name,description
ROST,"Ross Stores, Inc.","Ross Stores, Inc. - Apparel Retail company in the Consumer Discretionary sector."
SBUX,Starbucks Corporation,Starbucks Corporation - Restaurants company in the Consumer Discretionary sector.
TJX,"The TJX Companies, Inc.","The TJX Companies, Inc. - Apparel Retail company in the Consumer Discretionary sector."
TPR,"Tapestry, Inc.","Tapestry, Inc. - Apparel, Accessories & Luxury Goods company in the Consumer Discretionary sector."
TSCO,Tractor Supply Company,Tractor Supply Company - Other Specialty Retail company in the Consumer Discretionary sector.
TSLA,"Tesla, Inc.","Electric vehicles, energy storage, and FSD / Optimus AI. Margin profile tied tightly to factory utilization and average selling price."
ULTA,"Ulta Beauty, Inc.","Ulta Beauty, Inc. - Other Specialty Retail company in the Consumer Discretionary sector."
WYNN,"Wynn Resorts, Limited","Wynn Resorts, Limited - Casinos & Gaming company in the Consumer Discretionary sector."
YUM,"Yum! Brands, Inc.","Yum! Brands, Inc. - Restaurants company in the Consumer Discretionary sector."
ADM,Archer-Daniels-Midland Company,Archer-Daniels-Midland Company - Agricultural Products & Services company in the Consumer Staples sector.
BFB,Brown-Forman Corporation,Brown-Forman Corporation - Distillers & Vintners company in the Consumer Staples sector.
BG,Bunge Global SA,Bunge Global SA - Agricultural Products & Services company in the Consumer Staples sector.
CAG,"Conagra Brands, Inc.","Conagra Brands, Inc. - Packaged Foods & Meats company in the Consumer Staples sector."
CHD,"Church & Dwight Co., Inc.","Church & Dwight Co., Inc. - Household Products company in the Consumer Staples sector."
CL,Colgate-Palmolive Company,Colgate-Palmolive Company - Personal Care Products company in the Consumer Staples sector.
CLX,The Clorox Company,The Clorox Company - Household Products company in the Consumer Staples sector.
COST,Costco Wholesale Corporation,Costco Wholesale Corporation - Consumer Staples Merchandise Retail company in the Consumer Staples sector.
CPB,The Campbell's Company,The Campbell's Company - Packaged Foods & Meats company in the Consumer Staples sector.
DG,Dollar General Corporation,Dollar General Corporation - Consumer Staples Merchandise Retail company in the Consumer Staples sector.
DLTR,"Dollar Tree, Inc.","Dollar Tree, Inc. - Consumer Staples Merchandise Retail company in the Consumer Staples sector."
EL,The Estee Lauder Companies Inc.,The Estee Lauder Companies Inc. - Personal Care Products company in the Consumer Staples sector.
GIS,"General Mills, Inc.","General Mills, Inc. - Packaged Foods & Meats company in the Consumer Staples sector."
HRL,Hormel Foods Corporation,Hormel Foods Corporation - Packaged Foods & Meats company in the Consumer Staples sector.
HSY,The Hershey Company,The Hershey Company - Packaged Foods & Meats company in the Consumer Staples sector.
K,Kellanova,Kellanova - Packaged Foods & Meats company in the Consumer Staples sector.
KDP,Keurig Dr Pepper Inc.,Keurig Dr Pepper Inc. - Soft Drinks & Non-alcoholic Beverages company in the Consumer Staples sector.
KHC,The Kraft Heinz Company,The Kraft Heinz Company - Packaged Foods & Meats company in the Consumer Staples sector.
KMB,Kimberly-Clark Corporation,Kimberly-Clark Corporation - Household Products company in the Consumer Staples sector.
KO,The Coca-Cola Company,The Coca-Cola Company - Soft Drinks & Non-alcoholic Beverages company in the Consumer Staples sector.
KR,The Kroger Co.,The Kroger Co. - Food Retail company in the Consumer Staples sector.
LW,"Lamb Weston Holdings, Inc.","Lamb Weston Holdings, Inc. - Packaged Foods & Meats company in the Consumer Staples sector."
MDLZ,"Mondelez International, Inc.","Mondelez International, Inc. - Packaged Foods & Meats company in the Consumer Staples sector."
MKC,"McCormick & Company, Incorporated","McCormick & Company, Incorporated - Packaged Foods & Meats company in the Consumer Staples sector."
MNST,Monster Beverage Corporation,Monster Beverage Corporation - Soft Drinks & Non-alcoholic Beverages company in the Consumer Staples sector.
MO,"Altria Group, Inc.","Altria Group, Inc. - Tobacco company in the Consumer Staples sector."
PEP,"PepsiCo, Inc.","PepsiCo, Inc. - Soft Drinks & Non-alcoholic Beverages company in the Consumer Staples sector."
PG,The Procter & Gamble Company,The Procter & Gamble Company - Personal Care Products company in the Consumer Staples sector.
PM,Philip Morris International,Philip Morris International - Tobacco company in the Consumer Staples sector.
STZ,"Constellation Brands, Inc.","Constellation Brands, Inc. - Distillers & Vintners company in the Consumer Staples sector."
SYY,Sysco Corporation,Sysco Corporation - Food Distributors company in the Consumer Staples sector.
TGT,Target Corporation,Target Corporation - Consumer Staples Merchandise Retail company in the Consumer Staples sector.
TSN,"Tyson Foods, Inc.","Tyson Foods, Inc. - Packaged Foods & Meats company in the Consumer Staples sector."
WBA,"Walgreens Boots Alliance, Inc.","Walgreens Boots Alliance, Inc. - Drug Retail company in the Consumer Staples sector."
WMT,Walmart Inc.,Walmart Inc. - Consumer Staples Merchandise Retail company in the Consumer Staples sector.
APA,APA Corporation,APA Corporation - Oil & Gas Exploration & Production company in the Energy sector.
BKR,Baker Hughes Company,Baker Hughes Company - Oil & Gas Equipment & Services company in the Energy sector.
COP,ConocoPhillips,ConocoPhillips - Oil & Gas Exploration & Production company in the Energy sector.
CTRA,Coterra Energy Inc.,Coterra Energy Inc. - Oil & Gas Exploration & Production company in the Energy sector.
CVX,Chevron Corporation,Chevron Corporation - Integrated Oil & Gas company in the Energy sector.
DVN,Devon Energy Corporation,Devon Energy Corporation - Oil & Gas Exploration & Production company in the Energy sector.
EOG,"EOG Resources, Inc.","EOG Resources, Inc. - Oil & Gas Exploration & Production company in the Energy sector."
EQT,EQT Corporation,EQT Corporation - Oil & Gas Exploration & Production company in the Energy sector.
FANG,"Diamondback Energy, Inc.","Diamondback Energy, Inc. - Oil & Gas Exploration & Production company in the Energy sector."
HAL,Halliburton Company,Halliburton Company - Oil & Gas Equipment & Services company in the Energy sector.
HES,Hess Corporation,Hess Corporation - Oil & Gas Exploration & Production company in the Energy sector.
KMI,"Kinder Morgan, Inc.","Kinder Morgan, Inc. - Oil & Gas Storage & Transportation company in the Energy sector."
MPC,Marathon Petroleum Corporation,Marathon Petroleum Corporation - Oil & Gas Refining & Marketing company in the Energy sector.
MRO,Marathon Oil Corporation,Marathon Oil Corporation - Oil & Gas Exploration & Production company in the Energy sector.
OKE,"ONEOK, Inc.","ONEOK, Inc. - Oil & Gas Storage & Transportation company in the Energy sector."
OXY,Occidental Petroleum Corporation,Occidental Petroleum Corporation - Oil & Gas Exploration & Production company in the Energy sector.
PSX,Phillips 66,Phillips 66 - Oil & Gas Refining & Marketing company in the Energy sector.
PXD,Pioneer Natural Resources Company,Pioneer Natural Resources Company - Oil & Gas Exploration & Production company in the Energy sector.
SLB,SLB,SLB - Oil & Gas Equipment & Services company in the Energy sector.
TRGP,Targa Resources Corp.,Targa Resources Corp. - Oil & Gas Storage & Transportation company in the Energy sector.
VLO,Valero Energy Corporation,Valero Energy Corporation - Oil & Gas Refining & Marketing company in the Energy sector.
WMB,"The Williams Companies, Inc.","The Williams Companies, Inc. - Oil & Gas Storage & Transportation company in the Energy sector."
XOM,Exxon Mobil Corporation,Exxon Mobil Corporation - Integrated Oil & Gas company in the Energy sector.
ACGL,Arch Capital Group Ltd.,Arch Capital Group Ltd. - Property & Casualty Insurance company in the Financials sector.
AFL,Aflac Incorporated,Aflac Incorporated - Life & Health Insurance company in the Financials sector.
AIG,"American International Group, Inc.","American International Group, Inc. - Multi-line Insurance company in the Financials sector."
AIZ,"Assurant, Inc.","Assurant, Inc. - Multi-line Insurance company in the Financials sector."
ALL,The Allstate Corporation,The Allstate Corporation - Property & Casualty Insurance company in the Financials sector.
AMP,"Ameriprise Financial, Inc.","Ameriprise Financial, Inc. - Asset Management & Custody Banks company in the Financials sector."
AON,Aon plc,Aon plc - Insurance Brokers company in the Financials sector.
APO,"Apollo Global Management, Inc.","Apollo Global Management, Inc. - Asset Management & Custody Banks company in the Financials sector."
AXP,American Express Company,American Express Company - Consumer Finance company in the Financials sector.
BAC,Bank of America Corporation,Bank of America Corporation - Diversified Banks company in the Financials sector.
BEN,"Franklin Resources, Inc.","Franklin Resources, Inc. - Asset Management & Custody Banks company in the Financials sector."
BK,The Bank of New York Mellon Corp.,The Bank of New York Mellon Corp. - Asset Management & Custody Banks company in the Financials sector.
BLK,"BlackRock, Inc.","BlackRock, Inc. - Asset Management & Custody Banks company in the Financials sector."
BRK.B,Berkshire Hathaway Inc.,Berkshire Hathaway Inc. - Multi-Sector Holdings company in the Financials sector.
BRO,"Brown & Brown, Inc.","Brown & Brown, Inc. - Insurance Brokers company in the Financials sector."
BX,Blackstone Inc.,Blackstone Inc. - Asset Management & Custody Banks company in the Financials sector.
C,Citigroup Inc.,Citigroup Inc. - Diversified Banks company in the Financials sector.
CB,Chubb Limited,Chubb Limited - Property & Casualty Insurance company in the Financials sector.
CBOE,"Cboe Global Markets, Inc.","Cboe Global Markets, Inc. - Financial Exchanges & Data company in the Financials sector."
CFG,"Citizens Financial Group, Inc.","Citizens Financial Group, Inc. - Regional Banks company in the Financials sector."
CINF,Cincinnati Financial Corporation,Cincinnati Financial Corporation - Property & Casualty Insurance company in the Financials sector.
CME,CME Group Inc.,CME Group Inc. - Financial Exchanges & Data company in the Financials sector.
COF,Capital One Financial Corporation,Capital One Financial Corporation - Consumer Finance company in the Financials sector.
DFS,Discover Financial Services,Discover Financial Services - Consumer Finance company in the Financials sector.
EG,"Everest Group, Ltd.","Everest Group, Ltd. - Reinsurance company in the Financials sector."
ERIE,Erie Indemnity Company,Erie Indemnity Company - Insurance Brokers company in the Financials sector.
FDS,FactSet Research Systems Inc.,FactSet Research Systems Inc. - Financial Exchanges & Data company in the Financials sector.
FITB,Fifth Third Bancorp,Fifth Third Bancorp - Regional Banks company in the Financials sector.
GPN,Global Payments Inc.,Global Payments Inc. - Transaction & Payment Processing company in the Financials sector.
GS,"The Goldman Sachs Group, Inc.","The Goldman Sachs Group, Inc. - Investment Banking & Brokerage company in the Financials sector."
HBAN,Huntington Bancshares Incorporated,Huntington Bancshares Incorporated - Regional Banks company in the Financials sector.
HIG,The Hartford Financial Services Group,The Hartford Financial Services Group - Property & Casualty Insurance company in the Financials sector.
ICE,"Intercontinental Exchange, Inc.","Intercontinental Exchange, Inc. - Financial Exchanges & Data company in the Financials sector."
IVZ,Invesco Ltd.,Invesco Ltd. - Asset Management & Custody Banks company in the Financials sector.
JKHY,"Jack Henry & Associates, Inc.","Jack Henry & Associates, Inc. - Transaction & Payment Processing company in the Financials sector."
JPM,JPMorgan Chase & Co.,JPMorgan Chase & Co. - Diversified Banks company in the Financials sector.
KEY,KeyCorp,KeyCorp - Regional Banks company in the Financials sector.
KKR,KKR & Co. Inc.,KKR & Co. Inc. - Asset Management & Custody Banks company in the Financials sector.
L,Loews Corporation,Loews Corporation - Multi-line Insurance company in the Financials sector.
LNC,Lincoln National Corporation,Lincoln National Corporation - Life & Health Insurance company in the Financials sector.
MA,Mastercard Incorporated,Mastercard Incorporated - Transaction & Payment Processing company in the Financials sector.
MCO,Moody's Corporation,Moody's Corporation - Financial Exchanges & Data company in the Financials sector.
MET,"MetLife, Inc.","MetLife, Inc. - Life & Health Insurance company in the Financials sector."
MMC,"Marsh & McLennan Companies, Inc.","Marsh & McLennan Companies, Inc. - Insurance Brokers company in the Financials sector."
MS,Morgan Stanley,Morgan Stanley - Investment Banking & Brokerage company in the Financials sector.
MSCI,MSCI Inc.,MSCI Inc. - Financial Exchanges & Data company in the Financials sector.
MTB,M&T Bank Corporation,M&T Bank Corporation - Regional Banks company in the Financials sector.
NDAQ,"Nasdaq, Inc.","Nasdaq, Inc. - Financial Exchanges & Data company in the Financials sector."
NTRS,Northern Trust Corporation,Northern Trust Corporation - Asset Management & Custody Banks company in the Financials sector.
PFG,"Principal Financial Group, Inc.","Principal Financial Group, Inc. - Life & Health Insurance company in the Financials sector."
PGR,The Progressive Corporation,The Progressive Corporation - Property & Casualty Insurance company in the Financials sector.
PNC,The PNC Financial Services Group,The PNC Financial Services Group - Diversified Banks company in the Financials sector.
PRU,"Prudential Financial, Inc.","Prudential Financial, Inc. - Life & Health Insurance company in the Financials sector."
PYPL,"PayPal Holdings, Inc.","PayPal Holdings, Inc. - Transaction & Payment Processing company in the Financials sector."
RF,Regions Financial Corporation,Regions Financial Corporation - Regional Banks company in the Financials sector.
RJF,"Raymond James Financial, Inc.","Raymond James Financial, Inc. - Investment Banking & Brokerage company in the Financials sector."
SCHW,The Charles Schwab Corporation,The Charles Schwab Corporation - Investment Banking & Brokerage company in the Financials sector.
SPGI,S&P Global Inc.,S&P Global Inc. - Financial Exchanges & Data company in the Financials sector.
STT,State Street Corporation,State Street Corporation - Asset Management & Custody Banks company in the Financials sector.
SYF,Synchrony Financial,Synchrony Financial - Consumer Finance company in the Financials sector.
TFC,Truist Financial Corporation,Truist Financial Corporation - Diversified Banks company in the Financials sector.
TROW,"T. Rowe Price Group, Inc.","T. Rowe Price Group, Inc. - Asset Management & Custody Banks company in the Financials sector."
TRV,"The Travelers Companies, Inc.","The Travelers Companies, Inc. - Property & Casualty Insurance company in the Financials sector."
UNM,Unum Group,Unum Group - Life & Health Insurance company in the Financials sector.
USB,U.S. Bancorp,U.S. Bancorp - Diversified Banks company in the Financials sector.
V,Visa Inc.,Visa Inc. - Transaction & Payment Processing company in the Financials sector.
WFC,Wells Fargo & Company,Wells Fargo & Company - Diversified Banks company in the Financials sector.
WRB,W. R. Berkley Corporation,W. R. Berkley Corporation - Property & Casualty Insurance company in the Financials sector.
WTW,Willis Towers Watson Public Limited,Willis Towers Watson Public Limited - Insurance Brokers company in the Financials sector.
A,"Agilent Technologies, Inc.","Agilent Technologies, Inc. - Life Sciences Tools & Services company in the Health Care sector."
ABBV,AbbVie Inc.,AbbVie Inc. - Biotechnology company in the Health Care sector.
ABT,Abbott Laboratories,Abbott Laboratories - Health Care Equipment company in the Health Care sector.
ALGN,"Align Technology, Inc.","Align Technology, Inc. - Health Care Supplies company in the Health Care sector."
AMGN,Amgen Inc.,Amgen Inc. - Biotechnology company in the Health Care sector.
BAX,Baxter International Inc.,Baxter International Inc. - Health Care Equipment company in the Health Care sector.
BDX,"Becton, Dickinson and Company","Becton, Dickinson and Company - Health Care Equipment company in the Health Care sector."
BIIB,Biogen Inc.,Biogen Inc. - Biotechnology company in the Health Care sector.
BIO,"Bio-Rad Laboratories, Inc.","Bio-Rad Laboratories, Inc. - Life Sciences Tools & Services company in the Health Care sector."
BMY,Bristol-Myers Squibb Company,Bristol-Myers Squibb Company - Pharmaceuticals company in the Health Care sector.
BSX,Boston Scientific Corporation,Boston Scientific Corporation - Health Care Equipment company in the Health Care sector.
CAH,"Cardinal Health, Inc.","Cardinal Health, Inc. - Health Care Distributors company in the Health Care sector."
CI,The Cigna Group,The Cigna Group - Health Care Services company in the Health Care sector.
CNC,Centene Corporation,Centene Corporation - Managed Health Care company in the Health Care sector.
COR,"Cencora, Inc.","Cencora, Inc. - Health Care Distributors company in the Health Care sector."
CRL,Charles River Laboratories International,Charles River Laboratories International - Life Sciences Tools & Services company in the Health Care sector.
CVS,CVS Health Corporation,CVS Health Corporation - Health Care Services company in the Health Care sector.
DGX,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated - Health Care Services company in the Health Care sector.
DHR,Danaher Corporation,Danaher Corporation - Life Sciences Tools & Services company in the Health Care sector.
DVA,DaVita Inc.,DaVita Inc. - Health Care Services company in the Health Care sector.
DXCM,"DexCom, Inc.","DexCom, Inc. - Health Care Equipment company in the Health Care sector."
ELV,"Elevance Health, Inc.","Elevance Health, Inc. - Managed Health Care company in the Health Care sector."
EW,Edwards Lifesciences Corporation,Edwards Lifesciences Corporation - Health Care Equipment company in the Health Care sector.
GEHC,GE HealthCare Technologies Inc.,GE HealthCare Technologies Inc. - Health Care Equipment company in the Health Care sector.
GILD,"Gilead Sciences, Inc.","Gilead Sciences, Inc. - Biotechnology company in the Health Care sector."
HCA,"HCA Healthcare, Inc.","HCA Healthcare, Inc. - Health Care Facilities company in the Health Care sector."
HOLX,"Hologic, Inc.","Hologic, Inc. - Health Care Equipment company in the Health Care sector."
HSIC,"Henry Schein, Inc.","Henry Schein, Inc. - Health Care Distributors company in the Health Care sector."
HUM,Humana Inc.,Humana Inc. - Managed Health Care company in the Health Care sector.
IDXX,"IDEXX Laboratories, Inc.","IDEXX Laboratories, Inc. - Health Care Equipment company in the Health Care sector."
INCY,Incyte Corporation,Incyte Corporation - Biotechnology company in the Health Care sector.
IQV,IQVIA Holdings Inc.,IQVIA Holdings Inc. - Life Sciences Tools & Services company in the Health Care sector.
ISRG,"Intuitive Surgical, Inc.","Intuitive Surgical, Inc. - Health Care Equipment company in the Health Care sector."
JNJ,Johnson & Johnson,Johnson & Johnson - Pharmaceuticals company in the Health Care sector.
LH,Labcorp Holdings Inc.,Labcorp Holdings Inc. - Health Care Services company in the Health Care sector.
LLY,Eli Lilly and Company,Eli Lilly and Company - Pharmaceuticals company in the Health Care sector.
MCK,McKesson Corporation,McKesson Corporation - Health Care Distributors company in the Health Care sector.
MDT,Medtronic plc,Medtronic plc - Health Care Equipment company in the Health Care sector.
MOH,"Molina Healthcare, Inc.","Molina Healthcare, Inc. - Managed Health Care company in the Health Care sector."
MRK,"Merck & Co., Inc.","Merck & Co., Inc. - Pharmaceuticals company in the Health Care sector."
MRNA,"Moderna, Inc.","Moderna, Inc. - Biotechnology company in the Health Care sector."
MTD,Mettler-Toledo International Inc.,Mettler-Toledo International Inc. - Life Sciences Tools & Services company in the Health Care sector.
OGN,Organon & Co.,Organon & Co. - Pharmaceuticals company in the Health Care sector.
PFE,Pfizer Inc.,Pfizer Inc. - Pharmaceuticals company in the Health Care sector.
PODD,Insulet Corporation,Insulet Corporation - Health Care Equipment company in the Health Care sector.
REGN,"Regeneron Pharmaceuticals, Inc.","Regeneron Pharmaceuticals, Inc. - Biotechnology company in the Health Care sector."
RMD,ResMed Inc.,ResMed Inc. - Health Care Equipment company in the Health Care sector.
RVTY,"Revvity, Inc.","Revvity, Inc. - Life Sciences Tools & Services company in the Health Care sector."
STE,STERIS plc,STERIS plc - Health Care Equipment company in the Health Care sector.
SYK,Stryker Corporation,Stryker Corporation - Health Care Equipment company in the Health Care sector.
TECH,Bio-Techne Corporation,Bio-Techne Corporation - Life Sciences Tools & Services company in the Health Care sector.
TMO,Thermo Fisher Scientific Inc.,Thermo Fisher Scientific Inc. - Life Sciences Tools & Services company in the Health Care sector.
UHS,"Universal Health Services, Inc.","Universal Health Services, Inc. - Health Care Facilities company in the Health Care sector."
UNH,UnitedHealth Group Incorporated,UnitedHealth Group Incorporated - Managed Health Care company in the Health Care sector.
VRTX,Vertex Pharmaceuticals Incorporated,Vertex Pharmaceuticals Incorporated - Biotechnology company in the Health Care sector.
VTRS,Viatris Inc.,Viatris Inc. - Pharmaceuticals company in the Health Care sector.
WAT,Waters Corporation,Waters Corporation - Life Sciences Tools & Services company in the Health Care sector.
WST,"West Pharmaceutical Services, Inc.","West Pharmaceutical Services, Inc. - Health Care Supplies company in the Health Care sector."
ZBH,"Zimmer Biomet Holdings, Inc.","Zimmer Biomet Holdings, Inc. - Health Care Equipment company in the Health Care sector."
ZTS,Zoetis Inc.,Zoetis Inc. - Pharmaceuticals company in the Health Care sector.
AAL,American Airlines Group Inc.,American Airlines Group Inc. - Passenger Airlines company in the Industrials sector.
ALK,"Alaska Air Group, Inc.","Alaska Air Group, Inc. - Passenger Airlines company in the Industrials sector."
ALLE,Allegion plc,Allegion plc - Building Products company in the Industrials sector.
AME,"AMETEK, Inc.","AMETEK, Inc. - Electrical Components & Equipment company in the Industrials sector."
AXON,"Axon Enterprise, Inc.","Axon Enterprise, Inc. - Aerospace & Defense company in the Industrials sector."
BA,The Boeing Company,The Boeing Company - Aerospace & Defense company in the Industrials sector.
BLDR,"Builders FirstSource, Inc.","Builders FirstSource, Inc. - Building Products company in the Industrials sector."
BR,Broadridge Financial Solutions,Broadridge Financial Solutions - Data Processing & Outsourced Services company in the Industrials sector.
CARR,Carrier Global Corporation,Carrier Global Corporation - Building Products company in the Industrials sector.
CAT,Caterpillar Inc.,Caterpillar Inc. - Construction Machinery & Heavy Trucks company in the Industrials sector.
CHRW,"C.H. Robinson Worldwide, Inc.","C.H. Robinson Worldwide, Inc. - Air Freight & Logistics company in the Industrials sector."
CMI,Cummins Inc.,Cummins Inc. - Construction Machinery & Heavy Trucks company in the Industrials sector.
CPRT,"Copart, Inc.","Copart, Inc. - Diversified Support Services company in the Industrials sector."
CSX,CSX Corporation,CSX Corporation - Rail Transportation company in the Industrials sector.
CTAS,Cintas Corporation,Cintas Corporation - Diversified Support Services company in the Industrials sector.
DAL,"Delta Air Lines, Inc.","Delta Air Lines, Inc. - Passenger Airlines company in the Industrials sector."
DAY,"Dayforce, Inc.","Dayforce, Inc. - Human Resource & Employment Services company in the Industrials sector."
DE,Deere & Company,Deere & Company - Agricultural & Farm Machinery company in the Industrials sector.
DOV,Dover Corporation,Dover Corporation - Industrial Machinery company in the Industrials sector.
EFX,Equifax Inc.,Equifax Inc. - Research & Consulting Services company in the Industrials sector.
EMR,Emerson Electric Co.,Emerson Electric Co. - Electrical Components & Equipment company in the Industrials sector.
ETN,Eaton Corporation plc,Eaton Corporation plc - Electrical Components & Equipment company in the Industrials sector.
EXPD,Expeditors International of WA,Expeditors International of WA - Air Freight & Logistics company in the Industrials sector.
FAST,Fastenal Company,Fastenal Company - Trading Companies & Distributors company in the Industrials sector.
FDX,FedEx Corporation,FedEx Corporation - Air Freight & Logistics company in the Industrials sector.
FTV,Fortive Corporation,Fortive Corporation - Industrial Machinery company in the Industrials sector.
